34	NONRIGID	3	52	1.968e+22	[1/15, 9/14, 4/3, 275/2, 98/55]	L:irr v2:irr v3:const0 v5:const0 v7:const0 v11:irr
35	NONRIGID	3	49	1.932e+04	[1/15, 9/14, 4/3, 55/2, 35/11, 2/5]	L:irr v2:irr v3:const0 v5:const0 v7:const0 v11:const0
36	NONRIGID	3	62	3.869e+26	[1/15, 9/154, 4/3, 175/2, 99/5]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:const0
37	POLY	0	112	1.187e+05	[1/15, 9/35, 22/3, 5/11, 49/2, 25/7]	L:const10 v2:arith2 v3:const2 v5:const1 v7:const1 v11:const0
38	NONRIGID	4	41	1.376e+04	[1/15, 9/77, 2/7, 49/3, 275/2, 7/5]	L:irr v2:irr v3:const0 v5:const0 v7:const0 v11:const0
39	NONRIGID	3	48	1.958e+04	[1/15, 9/77, 49/3, 10/7, 55/2, 7/5]	L:irr v2:const0 v3:const0 v5:const0 v7:irr v11:const0
40	NONRIGID	3	49	1.932e+04	[1/15, 9/77, 49/3, 2/7, 275/2, 7/5]	L:irr v2:const0 v3:const0 v5:const0 v7:irr v11:const0
41	NONRIGID	3	60	1.219e+39	[1/15, 98/3, 18/77, 25/49, 33/2]	L:irr v2:irr v3:const0 v5:const0 v7:irr v11:const0
42	NONRIGID	4	41	2.141e+30	[1/1575, 20/21, 15/2, 49/5, 3/7]	L:irr v2:const0 v3:const0 v5:const0 v7:irr
43	NONRIGID	4	40	1.545e+40	[1/1575, 4/21, 75/2, 49/5, 3/7]	L:irr v2:const0 v3:const0 v5:const0 v7:irr
44	NONRIGID	3	39	2.100e+04	[1/18, 25/3, 9/35, 22/5, 7/11, 3/2]	L:irr v2:const0 v3:const0 v5:irr v7:const0 v11:const0
45	NONRIGID	3	58	6.566e+19	[1/18, 35/2, 4/55, 3/25, 11/7, 2/11]	L:irr v2:const0 v3:irr v5:irr v7:irr v11:const0
46	NONRIGID	3	47	1.486e+21	[1/18, 4/15, 21/2, 121/3, 5/7, 2/11]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:irr
47	NONRIGID	3	38	6.739e+19	[1/18, 4/15, 21/2, 121/3, 5/7, 3/11]	L:irr v2:const0 v3:irr v5:const0 v7:irr v11:irr
48	NONRIGID	3	58	6.566e+19	[1/18, 4/35, 55/2, 3/25, 7/11, 2/7]	L:irr v2:const0 v3:irr v5:irr v7:const0 v11:irr
