0	GEO	3	32	9.676e+13	[1/105, 10/3, 117/22, 637/2, 33/13]	L:georec(2, 0) v2:georec(2, 0) v3:const0 v5:georec(2, 1) v7:const0 v11:const0 v13:georec(2, -1)
1	POLY	3	40	1.501e+04	[1/105, 10/3, 225/22, 7/2, 363/7]	L:arith10 v2:arith2 v3:const0 v5:quad7 v7:const0 v11:const0
2	GEO	3	30	3.079e+13	[1/105, 10/3, 27/110, 35/2, 33/5]	L:georec(2, 0) v2:georec(2, 0) v3:const0 v5:georec(2, 1) v7:const0 v11:const0
3	GEO	3	30	3.079e+13	[1/105, 10/3, 27/110, 49/2, 33/7]	L:georec(2, 0) v2:georec(2, 0) v3:const0 v5:georec(2, 1) v7:const0 v11:const0
4	POLY	3	40	3.086e+04	[1/105, 10/3, 27/275, 7/5, 165/2]	L:arith21 v2:quad6 v3:const0 v5:arith3 v7:const0 v11:const0
5	POLY	3	40	1.501e+04	[1/105, 10/3, 45/22, 7/2, 363/7]	L:arith10 v2:arith2 v3:const0 v5:quad5 v7:const0 v11:const0
6	NONRIGID	3	39	1.540e+04	[1/105, 10/3, 81/22, 7/2, 99/7]	L:irr v2:irr v3:const0 v5:irr v7:const0 v11:const0
7	GEO	3	33	5.278e+13	[1/105, 10/3, 9/22, 2401/2, 33/7]	L:georec(2, 0) v2:georec(2, 0) v3:const0 v5:georec(2, 1) v7:const0 v11:const0
8	NONRIGID	5	26	1.886e+17	[1/105, 10/3, 9/55, 49/2, 11/7, 5/11]	L:irr v2:const0 v3:const0 v5:const0 v7:const0 v11:irr
9	NONRIGID	3	62	2.419e+13	[1/105, 10/33, 39/2, 49/169, 242/13]	L:irr v2:const0 v3:irr v5:irr v7:irr v11:const0 v13:irr
10	NONRIGID	2	48	1.031e+11	[1/105, 11/3, 175/2, 4/77, 189/5]	L:irr v2:const2 v3:const0 v5:irr v7:irr v11:irr
11	NONRIGID	2	66	1.503e+10	[1/105, 11/3, 4/55, 245/2, 135/7]	L:irr v2:irr v3:const0 v5:const1 v7:irr v11:irr
12	GEO	3	32	8.796e+13	[1/105, 117/22, 10/3, 637/2, 33/13]	L:georec(2, 0) v2:georec(2, 0) v3:const0 v5:georec(2, 1) v7:const0 v11:const0 v13:georec(2, -1)
13	NONRIGID	3	32	4.740e+09	[1/105, 121/15, 18/11, 7/9, 75/2]	L:irr v2:irr v3:irr v5:const0 v7:const0 v11:const0
14	POLY	3	37	1.286e+04	[1/105, 121/3, 15/143, 2/11, 91/2, 3/7]	L:arith10 v2:const0 v3:const0 v5:quad1 v7:const0 v11:arith2 v13:const0
